ID,critical_distance,direction,bearing
143,12, buffer,999
144,12, buffer,999
145,12, buffer,999
146,12, buffer,999
147,12, buffer,999
148,12, buffer,999
149,12, buffer,999
150,12, buffer,999
151,12, buffer,999
152,12, buffer,999
153,12, buffer,999
154,12, buffer,999
155,12, buffer,999
156,12, buffer,999
157,12, buffer,999
158,12, buffer,999
159,12, buffer,999
160,12, buffer,999
161,12, buffer,999
162,12, buffer,999
163,12, buffer,999
164,12, buffer,999
165,12, buffer,999
166,12, buffer,999
167,12, buffer,999
168,12, buffer,999
169,12, buffer,999
170,12, buffer,999
171,12, buffer,999
172,12, buffer,999
173,12, buffer,999
174,12, buffer,999
175,12, buffer,999
176,12, buffer,999
177,12, buffer,999
178,12, buffer,999
179,12, buffer,999
180,12, buffer,999
181,12, buffer,999
182,12, buffer,999
183,12, buffer,999
184,12, buffer,999
185,12, buffer,999
186,12, buffer,999
187,12, buffer,999
188,12, buffer,999
189,12, buffer,999
190,12, buffer,999
191,12, buffer,999
192,12, buffer,999
193,12, buffer,999
194,12, buffer,999
195,12, buffer,999
196,12, buffer,999
197,12, buffer,999
198,12, buffer,999
199,12, buffer,999
200,12, buffer,999
201,12, buffer,999
202,12, buffer,999
203,12, buffer,999
204,12, buffer,999
205,12, buffer,999
206,12, buffer,999
207,12, buffer,999
208,12, buffer,999
209,12, buffer,999
210,12, buffer,999
211,12, buffer,999
212,12, buffer,999
213,12, buffer,999
214,12, buffer,999
215,12, buffer,999
216,12, buffer,999
217,12, buffer,999
218,12, buffer,999
219,12, buffer,999
220,12, buffer,999
221,12, buffer,999
222,12, buffer,999
223,12, buffer,999
224,12, buffer,999
225,12, buffer,999
226,12, buffer,999
227,12, buffer,999
228,12, buffer,999
229,12, buffer,999
230,12, buffer,999
231,12, buffer,999
232,12, buffer,999
233,12, buffer,999
234,12, buffer,999
235,12, buffer,999
236,12, buffer,999
237,12, buffer,999
238,12, buffer,999
239,12, buffer,999
240,12, buffer,999
241,12, buffer,999
242,12, buffer,999
243,12, buffer,999
244,12, buffer,999
245,12, buffer,999
246,12, buffer,999
247,12, buffer,999
248,12, buffer,999
249,12, buffer,999
250,12, buffer,999
251,12, buffer,999
252,12, buffer,999
253,12, buffer,999
254,12, buffer,999
255,12, buffer,999
256,12, buffer,999
257,12, buffer,999
258,12, buffer,999
259,12, buffer,999
260,12, buffer,999
261,12, buffer,999
262,12, buffer,999
263,12, buffer,999
264,12, buffer,999
265,12, buffer,999
266,12, buffer,999
267,12, buffer,999
268,12, buffer,999
269,12, buffer,999
270,12, buffer,999
271,12, buffer,999
272,12, buffer,999
273,12, buffer,999
274,12, buffer,999
275,12, buffer,999
276,12, buffer,999
277,12, buffer,999
278,12, buffer,999
279,12, buffer,999
